年齢,性別,身長,体重,今の時間帯,空いた時間,食べたカロリー,これから食べるカロリー,食べれたか
75,女性,175.65473675167624,76.33601694011034,2023-08-25 12:45:27,11.847579088730397,184.22294411962255,1616.8137838348557,0
58,男性,185.71422975550604,88.56595466463304,2023-08-25 07:15:06,7.780061707903875,541.7333982867035,1214.4477404115898,1
59,女性,164.21209007449895,51.347482445934176,2023-08-25 07:22:28,16.284162754153474,844.6011380359188,769.8548129732915,0
63,女性,189.81965715139918,81.12661940669307,2023-08-25 15:22:48,3.7011792330309574,1449.8297652660715,231.2374808851755,1
20,男性,186.0779155717805,49.680776684971214,2023-08-25 08:59:36,2.406474655766263,784.8073674020985,1100.986002610315,0
31,女性,186.8791408862109,70.30884900837219,2023-08-25 18:06:35,12.972074740422768,1821.1798585583933,60.51528643524498,0
60,女性,158.4283713898106,58.39890316032903,2023-08-25 04:09:34,4.354774035994026,438.64850753826636,806.4019959491358,1
21,男性,167.83753822592385,77.88984366573374,2023-08-25 19:20:49,16.59509542996553,1550.875791264412,585.1152723480956,0
24,男性,176.37331838475086,48.413283867663274,2023-08-25 09:22:26,11.918633929663418,246.31114643151852,1562.5667773295681,0
49,男性,176.223944915948,83.27513172824357,2023-08-25 05:21:22,16.29713571949636,611.3376211683527,1105.30687948522,1
75,男性,174.73198276039778,54.73064073924431,2023-08-25 23:45:16,17.46807641360688,1202.0891430099093,445.89875045761784,0
76,男性,157.7005979067713,49.47263174365905,2023-08-25 19:17:42,7.326156916480408,181.93710293649846,1174.5778336366034,0
22,女性,155.77872097126402,48.28798495122596,2023-08-25 00:24:13,19.90674682729904,476.4108406949556,1105.7128705268062,0
75,男性,151.86358123729067,49.94249388679849,2023-08-25 12:33:16,3.567370965719097,939.6790751138454,291.9867298811319,1
45,男性,156.82951852277859,88.28784750419032,2023-08-25 09:53:25,19.570834938841102,89.22966104833178,2751.494851160448,0
54,男性,179.51052638019635,75.4221836862815,2023-08-25 10:38:28,4.747621575431838,1430.8136487618815,275.49383218097665,1
75,男性,187.74581204615416,47.404025913857346,2023-08-25 05:07:50,4.853464343206321,871.0770930428508,402.02531184274306,1
34,男性,165.72825406552448,83.91551492214091,2023-08-25 10:01:51,10.447941715582381,1722.703813463251,511.21183176057986,0
56,女性,175.44538565422607,58.313540430842494,2023-08-25 15:30:23,4.193318324316192,949.8701592175535,383.5226659126499,1
23,男性,151.1675402132729,55.92949416882014,2023-08-25 22:42:14,13.768551867926485,1487.7400897122968,182.1683355387181,1
41,女性,165.03925413829305,87.91401006316718,2023-08-25 22:36:12,18.93477679068754,950.6045199294575,940.4037363291706,0
39,男性,186.06718974239718,47.58199035589646,2023-08-25 20:14:26,2.276918111930492,1301.3183714890624,252.7002046356343,1
73,男性,154.9498123467947,74.0375193870527,2023-08-25 03:58:58,8.221897981231134,306.5381785331701,1563.8891007107761,0
70,男性,177.63694527581373,60.8324915328353,2023-08-25 12:19:39,6.817908828226157,1357.6495152043003,400.3600888815493,0
59,男性,171.53321212669772,81.88222552071356,2023-08-25 01:13:28,10.182881887828138,4.209044524567275,2556.3645944947066,0
62,男性,188.36989030135786,52.167421295869254,2023-08-25 13:55:24,10.04233985999349,1309.591659551727,497.4157796422867,0
77,女性,171.96765530851135,82.474575010342,2023-08-25 04:44:26,1.2469168436612441,1175.1888873845364,-502.03584708467565,1
75,女性,168.69483739697893,58.021014756314955,2023-08-25 19:04:45,7.7500935101819906,1202.7070091538837,156.97264329793995,0
52,女性,172.28911956581265,63.01791436627529,2023-08-25 13:46:52,10.080391795522097,936.7683206995117,515.6555163259139,1
74,女性,180.96023444120658,88.45429856020019,2023-08-25 01:40:47,18.64320738592367,1037.1726454378186,946.4953349142995,0
60,男性,185.3313809946511,54.741436982448825,2023-08-25 06:12:52,2.8871021673100095,1528.7186035176192,105.62257248702747,1
33,女性,153.37524365961653,80.68613896462561,2023-08-25 09:47:50,16.064793655368824,726.9201094574795,1885.1991367656797,0
58,女性,187.64592337515506,76.534731161855,2023-08-25 20:58:59,15.36661231155306,1104.9432483440737,1235.2253239335528,0
71,女性,172.30673288298829,46.09878133855883,2023-08-25 01:57:59,7.906033653657286,1211.611519806771,21.0821024981523,0
74,女性,161.4946923436907,49.27622123437736,2023-08-25 00:52:35,11.875062710778,544.822546515809,1308.3916473376426,0
48,女性,165.21737600284476,82.19259201927488,2023-08-25 16:19:47,19.12910514250158,1432.2680886897965,309.55928534944115,1
55,男性,187.61765918544648,81.07568543200324,2023-08-25 01:04:34,11.728330794886316,2016.494901313249,57.09324507791656,0
73,女性,169.32201000860036,59.921127222925854,2023-08-25 22:30:41,5.449950766791372,662.0658147961054,993.7891116237005,0
27,男性,173.5494888211082,76.86332031276109,2023-08-25 22:26:46,17.55319753095906,9.503051616047875,3399.721640951106,0
67,女性,181.5603417401387,61.842316160321346,2023-08-25 18:31:09,15.445538335643377,1249.7183516112382,252.3524676077061,1
39,男性,177.1389711089158,70.61580221818878,2023-08-25 14:45:34,15.408790772021526,438.5887800289462,3001.0684805058413,0
31,女性,160.96905512258192,49.45575630758805,2023-08-25 23:56:19,5.037528490460488,1.3610038784726597,1610.8087920825978,0
76,男性,174.59223202078712,76.50388400541044,2023-08-25 02:19:57,7.292921954502223,659.6671802447578,2066.4772191136717,0
54,男性,161.744316009848,54.52356547411141,2023-08-25 03:14:08,13.689788816652836,434.0183355509193,1336.8964547641724,0
58,男性,161.23575394149458,75.78197021769597,2023-08-25 01:32:30,16.823047108444452,510.9377930638484,1443.892499281798,0
39,男性,159.2720921080886,71.65873229248558,2023-08-25 19:30:26,16.695692663402117,1612.4387936860064,360.6512936470094,0
29,女性,161.68482156244602,65.4770018302038,2023-08-25 14:17:08,2.2459461603703588,885.9862049095215,499.46228520649686,1
27,男性,164.08479989384546,86.13920239298315,2023-08-25 16:46:33,15.16204579870604,1236.2713334407374,1244.062484977221,0
75,女性,185.08872564350574,52.25732868998317,2023-08-25 05:26:00,1.4246212299629373,86.28709521605086,720.8660134742495,1
30,男性,155.03060635842442,76.62579406190547,2023-08-25 19:56:44,13.56236618489696,170.1464743727897,2712.1962346175787,0
55,男性,174.6404013969228,77.22998591017958,2023-08-25 02:18:13,2.4972858263612827,1336.0519946806662,474.71267583393274,1
55,男性,183.67947989127464,82.51397126541903,2023-08-25 23:38:52,15.106816295071388,1571.2597750507252,662.5084471700475,0
26,男性,162.06967879598602,58.39484293300843,2023-08-25 14:51:43,1.509230556638019,1223.560582049028,-368.00593009805596,1
29,女性,156.5482982413368,75.25601269964747,2023-08-25 18:00:46,13.130659074696993,1275.055763590523,571.8985644461807,0
29,女性,150.0342037147079,81.37469280195165,2023-08-25 03:36:39,1.4941612410788938,166.59568060735384,466.0724420794915,1
31,女性,151.11195168783445,69.59414978217498,2023-08-25 11:42:42,18.815255935655596,96.72243730262957,1522.560176977819,0
32,男性,187.86568634250364,79.86528030163626,2023-08-25 12:06:58,10.847317599244672,2009.077364098466,163.10399301650781,1
52,男性,152.34815180732244,89.13840576784676,2023-08-25 04:06:21,17.23930331057218,1574.3968505950772,354.74485800084744,0
20,男性,166.02967736780957,88.27655387392565,2023-08-25 06:49:57,1.871493260374827,2126.8234686276774,-1155.6950193361117,1
68,女性,183.55841683641322,80.96930350282324,2023-08-25 21:06:45,16.699807674103432,913.0634058616071,1072.3002482349593,0
54,女性,159.16681149140973,52.07933504098986,2023-08-25 00:40:47,11.623250208455477,858.8955275988941,643.1404712555424,0
38,男性,162.77684168782298,69.54249022368083,2023-08-25 06:58:48,3.184908738929144,981.6085361815185,569.8819300578343,1
68,女性,162.8473780911835,84.31089900463768,2023-08-25 13:50:50,3.771427587816237,57.276544648435575,904.8072646909523,1
51,男性,162.6208325242903,75.33495341791163,2023-08-25 08:09:58,14.462787912360943,1608.7613514826805,291.51679616515946,0
71,女性,166.20005136881048,66.35251917062365,2023-08-25 14:46:53,5.708027390823051,1290.9400478011778,168.11005029821158,0
24,男性,161.71680665442065,67.04158177795442,2023-08-25 01:15:59,8.397398277003344,1140.91491661284,735.0977407766526,1
57,男性,186.6483941063542,70.5523321223005,2023-08-25 15:29:59,7.403626290682721,1744.1826759434548,171.91901883250716,0
41,女性,184.3178271266605,75.45966514433113,2023-08-25 06:10:05,9.208985046026065,1028.7128783334165,1398.9451859407836,0
76,女性,155.02543458655688,78.87052502665128,2023-08-25 14:09:34,5.100907004015773,0.6928191867283163,1506.9420276290928,0
71,女性,159.34691898958172,50.576943807537916,2023-08-25 16:32:07,7.492816438679537,531.8731672416874,1156.4815024088405,0
60,男性,169.7338741998747,64.97218907545502,2023-08-25 00:47:44,15.11546862918265,1171.4537665626674,730.7007007895364,0
23,女性,177.7313841875998,56.4735099250533,2023-08-25 16:51:34,11.02615613366435,1105.458685168728,769.7905083814934,0
76,男性,174.61272626206818,60.9856135352467,2023-08-25 06:01:46,19.498953796192414,948.7284180044537,1057.021693040323,0
27,女性,175.0199616026784,55.272271431945626,2023-08-25 03:03:52,2.619158384183661,1389.0281713040267,117.63083634741116,1
67,男性,184.41268020969162,69.53228155424137,2023-08-25 00:18:36,15.129881954275227,1797.1781595915,40.134809007790025,0
41,男性,180.78298153021956,88.6818715703892,2023-08-25 06:44:41,7.380162464890487,909.8124325665259,1495.437797853138,0
22,女性,171.2285263113343,85.29253901552394,2023-08-25 15:02:54,3.773393468807324,559.4517983434193,1284.981730006237,1
47,女性,175.0567942020255,52.68724849556909,2023-08-25 14:26:48,13.074202087325073,966.1024329188681,718.0638260515279,0
45,女性,184.14728981659312,58.15873425452523,2023-08-25 12:38:11,6.0866431566546915,680.5512418384434,1046.5506935722613,0
36,女性,181.74609414569017,61.2310311629674,2023-08-25 14:42:17,19.584011715969634,975.2233714522372,704.2291716297016,1
32,女性,183.60808742380425,81.49957284013243,2023-08-25 13:37:33,12.385417724034525,155.574846775235,2711.1414571908595,0
55,女性,169.8386753499886,48.70752109667467,2023-08-25 18:31:12,18.97363222531942,759.0440628458105,873.1681247572969,0
45,男性,176.8134971738441,71.32041996303256,2023-08-25 22:52:07,5.3815034541583575,910.9508360865455,1219.4824810295609,0
72,女性,168.27128790425078,88.54475139357265,2023-08-25 02:50:52,12.502803587840749,1136.309358535257,745.2877852036513,0
26,男性,176.99956743618984,78.0473476598048,2023-08-25 04:43:23,2.8730557735018927,916.4644918837262,865.3907818836311,1
74,女性,154.28860916518406,52.95636190118861,2023-08-25 04:27:56,17.233776961708553,1057.0686530685678,125.02898207829101,0
28,女性,180.86615258603115,74.87526356052597,2023-08-25 12:17:03,13.373655333257892,849.4287420882075,880.2171349550865,1
76,男性,162.85089063748484,68.66174307494127,2023-08-25 22:21:29,17.946426703667864,795.1355795783485,944.1892589115845,0
63,男性,150.874479661363,70.78429840830134,2023-08-25 13:01:09,4.168631115670211,794.4454221603853,535.0006142436766,1
43,女性,163.87689205315976,65.55801651765432,2023-08-25 06:10:06,6.754891837577255,737.6800852552477,1019.3387864044496,0
62,男性,160.24673178966572,73.66524032736987,2023-08-25 03:36:05,10.02576632067234,160.4006404393278,1506.5551784426643,1
42,女性,155.3687545128424,76.52637513176052,2023-08-25 12:07:33,2.774684403853914,424.53166959801416,749.3988494905884,1
65,男性,172.2668294825736,79.29941246474486,2023-08-25 01:39:17,6.012406855228638,153.61248414819676,1976.1159553243951,0
53,女性,161.7783570204154,59.29406595976991,2023-08-25 15:38:43,7.786447864270457,1109.489910596911,284.74420640956333,1
37,男性,184.24012841463485,64.82762724516185,2023-08-25 01:49:30,17.176187397232116,1831.5633876269608,148.12704996117515,0
41,男性,184.07317665192568,86.39518522346123,2023-08-25 02:23:56,18.76542411330494,643.3129356101324,2105.7198818046736,0
50,男性,150.18734635474928,57.76126732010362,2023-08-25 17:03:18,18.829864015204468,1284.6131196732613,440.14458152944013,0
67,男性,169.17287328441174,47.21027799968798,2023-08-25 06:41:36,2.2032624382822776,880.0864497600575,335.3425548479973,1
50,女性,188.77335931260416,56.53732175631892,2023-08-25 12:28:06,9.336821232948353,555.240289059009,1226.2475471323482,0
71,男性,181.2972494356632,53.92258239195782,2023-08-25 18:27:42,8.66292748797726,596.8031007327419,1969.3871576500856,0
79,男性,159.11808077494408,60.152180058415034,2023-08-25 00:34:43,10.15532600790931,700.9972528980186,1139.3389003997106,0
76,女性,170.36196831482653,52.215702457032165,2023-08-25 21:25:42,18.2211429313811,317.9040448385592,1125.4528449994625,0
65,女性,186.84933304172898,50.90206549162465,2023-08-25 21:19:40,13.607390025205342,828.8941159790559,759.3707178212198,0
67,男性,169.8327313239548,77.92670821667735,2023-08-25 19:23:06,9.765298965669952,1782.3099689763894,37.532605090722505,0
51,男性,175.74846013506533,74.64560675966686,2023-08-25 00:52:03,12.462744400770827,1778.2256587681325,125.38099679333762,1
74,女性,188.25112148246882,74.37986566638058,2023-08-25 21:22:06,1.4446144770078022,728.8826332652367,83.77492523719286,1
78,女性,156.9967597331409,68.65922638725075,2023-08-25 03:39:09,14.099498400375396,70.94657292451403,1409.3486682181824,0
22,男性,182.60987441807345,51.00318484688079,2023-08-25 02:46:38,5.824628249060307,1492.857491032867,316.9298809748768,1
68,男性,175.24361265327573,63.21545884535482,2023-08-25 09:21:29,6.193610289113167,845.3816875891923,634.0432223761096,1
38,女性,154.42977007734837,45.99511168237714,2023-08-25 00:30:33,14.621293222808257,60.832338981599754,2518.5158604815256,0
67,男性,186.99462494682405,65.33202402480174,2023-08-25 10:05:47,14.311809370409144,512.1038798751325,1408.7570799916778,0
53,男性,164.23870388064606,82.91022319335724,2023-08-25 21:20:21,4.211147857151408,54.35989833971035,1357.1448286328205,1
20,男性,162.88962883526554,69.32311604690652,2023-08-25 21:59:01,9.453210520191922,966.07378313168,928.7642561649353,1
63,男性,173.84105371924807,83.40219183172817,2023-08-25 21:20:13,15.95928942108096,1255.5241377504776,1117.6499967659984,0
24,男性,176.32748657592595,51.15557167069023,2023-08-25 09:05:28,5.232944325454319,228.3619924512416,1698.5066139226465,0
73,男性,163.13141043267467,64.38689190592922,2023-08-25 21:20:57,10.093238476602526,1172.1704544561726,470.0811194142303,0
65,女性,169.6103641757923,47.75820870679598,2023-08-25 22:15:21,18.470032825834874,934.2122615171401,335.5038902795676,0
56,女性,161.85821581534705,88.01532601331829,2023-08-25 11:28:01,19.070795802646163,1459.6872082036575,492.50932826697505,0
53,女性,172.96626881491605,71.13859781335105,2023-08-25 11:22:48,8.431678698492364,1231.3222330616202,501.308693390996,0
57,男性,165.88586931187808,88.61536505670067,2023-08-25 08:46:08,1.7277043730233959,420.41463491274436,119.32418664603219,1
74,女性,174.94788753250003,73.72027681871626,2023-08-25 12:49:21,9.209732441741798,332.540564283208,1628.7570758108045,0
53,男性,157.51642762113474,72.83415063202185,2023-08-25 20:51:42,14.574742588531864,1055.1087957447835,1188.5726605673394,0
39,男性,178.27719076156433,54.57575950283117,2023-08-25 02:00:44,13.317426772417575,373.7066036092678,2811.7725299629146,0
54,女性,179.0148252057833,81.54676506925796,2023-08-25 12:12:43,13.902114842482234,358.88037580474344,1188.4433216155614,1
30,男性,155.70873282491416,74.88143748047703,2023-08-25 23:47:00,4.7988012927122154,1190.185175567308,486.7588351219163,1
32,男性,152.00356446933452,76.62298206975454,2023-08-25 14:05:23,17.07260769451243,2.731856085548483,1971.9657849498954,0
76,男性,170.79794572934827,82.56605264137701,2023-08-25 19:31:08,10.378460143696955,1101.947423603394,874.1056040371465,0
53,女性,175.74162024537242,58.465032860468654,2023-08-25 06:43:07,6.533081019070519,895.629683646551,630.331962013731,0
40,男性,183.6858435026623,60.51374244017073,2023-08-25 04:33:02,8.636633214258609,811.5538852735378,1324.7499199102203,0
36,女性,165.34905765220978,58.69106993600253,2023-08-25 23:23:05,9.371889553698567,1250.4096266381928,241.24540142292668,1
52,男性,164.24620821205997,74.67241110038455,2023-08-25 02:18:27,5.859539924059848,196.32702968886326,1578.3616486511282,1
43,男性,162.87174177973634,71.49652041760578,2023-08-25 19:53:38,17.783979892870413,1738.4781316810024,146.12041928659264,0
78,女性,163.08697652526766,58.67568253505583,2023-08-25 09:46:37,4.590317672021051,896.6793786213373,248.188331762661,1
20,男性,169.84394589262172,61.05751431759866,2023-08-25 15:43:21,17.715764824475052,776.7321454156406,1529.495813351783,0
77,男性,181.44010486966482,81.39470337078731,2023-08-25 10:56:56,8.132841372899364,720.4523727529543,1717.2669715057355,0
69,男性,185.7412028228205,56.24120338877445,2023-08-25 12:21:30,12.024060308715992,946.6031547817923,1037.9426975498127,0
58,女性,155.00357820805988,89.6296268880594,2023-08-25 22:13:19,13.607158440659692,1100.8491004767204,783.3703408847485,0
42,男性,188.06766045614796,47.158922095145165,2023-08-25 09:00:55,5.24102879516184,276.12438618025294,1278.7584064215368,1
55,女性,171.665432398741,67.36763313025864,2023-08-25 07:08:43,19.307193874029288,538.3291780836433,1242.0010749942533,0
49,男性,168.21851730233627,53.49997719572855,2023-08-25 20:09:30,12.61592730773131,875.89255540106,1449.6194307095805,0
35,女性,157.97927838911988,61.28293029277983,2023-08-25 22:55:39,12.465847301573028,895.8501921490797,562.7661452556121,1
63,女性,184.3171769517563,72.67163904497694,2023-08-25 16:34:38,5.824107840151365,864.2080525708444,813.2409511789692,1
74,女性,184.9587403826565,46.805497157076516,2023-08-25 19:00:44,16.6364535282638,210.2016557494699,1833.8179795334445,0
43,男性,158.7169194581624,84.56821651167714,2023-08-25 10:14:47,14.257234415274855,1496.5670555580243,616.1819718641666,0
70,男性,163.50675357860666,45.84711154631995,2023-08-25 09:54:18,14.381963854349358,1234.924414701464,174.58687352016796,0
43,女性,160.77382916012598,75.24570917584815,2023-08-25 12:35:11,13.151504618721743,1575.0453513629384,90.33188548737812,0
40,女性,153.43117448529782,68.86979094376713,2023-08-25 12:35:30,14.86112587057482,837.6864711855778,719.9202572002725,0
46,男性,162.30012834529637,70.51850235357074,2023-08-25 15:21:37,14.89262011038968,225.45187177691426,1707.034359580246,0
65,男性,184.27073230468216,89.19161392909967,2023-08-25 13:08:58,14.896276483421417,2028.8772573340125,46.28875550571679,0
60,男性,168.7907718267646,74.22640495565419,2023-08-25 10:54:15,2.02375519261287,1013.9326160266115,566.9325113976984,1
67,男性,171.34130108482708,79.2226307597661,2023-08-25 01:47:13,18.559689261800784,19.552315051069918,1794.8588683020112,1
48,女性,189.19466257203084,63.32384905987946,2023-08-25 21:35:51,12.530527880210313,1077.3722002945456,699.8769984592094,0
22,女性,154.15196514252207,55.2761223135372,2023-08-25 06:45:54,12.728934254969646,247.36009816871297,1913.8845790561106,0
66,女性,182.12598296198368,72.53174003742365,2023-08-26 00:18:23,9.18140026509565,729.4031387135964,1050.8573542727763,0
67,女性,184.58465079570777,82.50544615325519,2023-08-25 08:51:59,15.125191791736027,7.926855123912056,2076.250128995108,0
32,男性,155.2347875286767,77.62911550437481,2023-08-25 11:19:51,16.63598427787293,1887.7650716870114,25.04020445794208,0
52,女性,166.7046763783739,68.42474502916362,2023-08-25 16:04:37,9.919031177283877,937.8729296811625,1159.216838566408,0
32,女性,168.32248542215618,63.622069247101095,2023-08-25 08:40:20,3.431286962461248,1049.61704346153,360.71310480885256,1
78,女性,160.67764269783478,55.93876264704387,2023-08-25 11:35:55,14.493441351612965,0.7761163500567843,1582.6186609742879,0
42,女性,180.3621044594587,59.09074796532555,2023-08-25 18:43:22,12.84507053054,131.29735819736277,2109.498613671496,0
57,男性,172.69635245188582,80.45443557959285,2023-08-25 02:14:21,8.702519280527374,1437.563079859333,773.6481801276044,0
49,女性,153.92988502776095,68.46999554994147,2023-08-25 14:45:47,1.9178383879031617,485.79286289029454,216.79279052023224,1
50,男性,153.76203670370757,51.254788288197844,2023-08-25 19:26:56,3.055710130637967,862.46830189717,323.75683521621926,1
42,女性,159.52969110763402,73.50041580459492,2023-08-25 13:06:20,18.262077388390676,998.7777263261132,784.2956287350866,0
21,女性,150.61188811397435,56.450224296692596,2023-08-25 07:04:00,9.87018217996833,998.0914183279724,621.4282649554898,0
64,男性,160.52676013397706,87.17422552798322,2023-08-25 04:47:07,11.859426107779226,1257.0813127027502,663.6608926194608,0
41,男性,187.3700464320142,59.419473956172766,2023-08-25 14:30:41,8.959608632035977,1599.836081154321,302.3291354122588,0
67,男性,160.2972542004174,88.14605792537114,2023-08-25 06:17:28,5.833485649211144,169.59021863175803,2492.29473042443,0
67,女性,160.12402615250917,53.7464260343158,2023-08-25 15:40:38,10.358382288903789,842.9145885264123,794.1115512974478,0
43,女性,187.36272594935727,80.62493373021742,2023-08-25 10:40:37,13.619371345852114,987.0612332624526,761.4384576184337,1
66,女性,168.4821541925689,76.63476471242316,2023-08-25 22:53:17,4.238193690182074,810.8075191796286,519.4046314941994,1
45,女性,185.23917529647525,89.87779451831022,2023-08-25 18:31:02,8.714339958925198,771.6297188141031,1579.3169502878222,0
28,女性,182.35831178255862,66.12644483040721,2023-08-25 00:48:29,13.988045111360334,1082.5113101961558,787.7955437604403,0
36,女性,171.26879859370473,69.12158532928278,2023-08-25 10:59:32,10.216241587493743,845.2464606830223,1116.4549764805636,0
62,女性,166.07235183999637,68.83977658208003,2023-08-25 18:45:46,19.564050700427455,135.56524712489946,1081.8438471088969,1
45,女性,159.66486699812762,61.82927889427721,2023-08-25 09:21:48,1.1214482420110552,838.4295550506185,-298.2128889754189,1
73,男性,181.98898289290884,45.24479223925073,2023-08-25 07:21:02,9.064815883512367,216.2161586196428,1836.806227476951,0
60,男性,169.47827252223647,80.7655394460009,2023-08-25 23:17:15,8.812239172562734,575.4469710705063,1419.1566464831642,0
24,女性,185.81822557884095,86.51682013827761,2023-08-25 13:58:43,16.289450169160737,1045.79696638681,1766.6838326563943,0
60,男性,150.49686466296845,85.54323269255946,2023-08-25 14:57:57,9.08022222658446,1051.3265621684989,669.686759146026,1
33,男性,161.23041043152253,88.89731090649752,2023-08-25 10:49:09,14.188786588536072,258.8039052998032,1841.8428937014933,0
64,男性,155.88867885300067,50.20059248531232,2023-08-25 18:51:31,16.808696443074936,692.3281645531245,870.7185190999135,0
56,男性,178.27752466897184,69.20324845405548,2023-08-25 14:03:25,3.0149558287692315,743.6821577051238,671.9212849259919,1
46,女性,150.51956363954946,51.37379041488936,2023-08-25 00:58:06,9.31987539197369,809.8350664272533,579.9189054131791,0
35,男性,178.73509500820288,79.46649862069523,2023-08-25 09:07:13,11.245168050095339,1054.6965498086643,1405.001671752466,0
25,男性,158.77636865450398,55.75132608625429,2023-08-25 22:10:54,3.194594280020603,1006.7409085049044,367.0910993490132,1
39,女性,155.6341209689989,68.66879821136006,2023-08-25 23:59:46,6.078196510057963,377.3316540057445,1493.3374380169482,0
68,女性,163.2041809802852,79.52235332835222,2023-08-25 12:06:08,8.58900410095871,1453.5783466201478,123.17159978089042,1
46,男性,170.9924961377115,49.97280751050774,2023-08-25 06:33:02,9.293921830179007,1220.9909851997572,328.85995603147023,1
38,男性,172.04480581095413,64.34989138707965,2023-08-25 10:33:20,6.039718877756575,830.6553726791859,1612.574464616587,0
25,女性,185.45988663677758,73.7610414689337,2023-08-25 00:34:03,3.070782385074164,253.25534188141663,851.5468060151181,1
22,男性,182.1689193575897,45.89990798884331,2023-08-25 02:31:47,11.843558516524299,226.56242679055845,2606.6051792724775,0
33,女性,167.20736560757263,65.24222482619683,2023-08-25 05:33:56,2.950603476313167,132.91983221340834,1034.223048792636,1
75,女性,155.9636838987346,79.40494606700491,2023-08-25 22:30:15,8.993758803643141,215.41722830460802,1140.8612351375352,1
50,女性,167.611850439817,71.1780445912681,2023-08-25 17:02:20,11.012236884355756,1603.442905765102,19.437672223648924,0
35,男性,186.21144809341274,57.32419997399456,2023-08-25 11:09:51,17.32083568770718,630.8955493122088,1453.5339512888313,0
77,男性,150.17681118989358,49.8526537952612,2023-08-25 04:50:26,4.33426829886916,1107.6314928656227,84.83451422449697,1
71,男性,173.72846375543398,73.76399110827495,2023-08-25 20:01:34,6.66492498374967,919.6225533056186,1772.0715791950713,0
39,男性,189.04734403914802,61.747901568395186,2023-08-25 13:21:24,16.919500273480526,1233.8749647530524,1075.496940101238,0
61,女性,183.27717541689876,85.06652482868151,2023-08-25 15:17:32,12.504415271818964,287.00328655256385,2576.6914265635373,0
20,男性,174.9110758589185,71.01598281612738,2023-08-25 02:44:02,11.242728906043338,860.1740263970552,1958.448470392766,0
71,男性,157.3594015810088,58.87365250426093,2023-08-25 08:48:57,16.76042103426468,1024.651913461932,420.1832240651265,1
28,男性,166.8202298159472,75.66837981351743,2023-08-25 03:40:37,15.836092941681107,571.2251918571994,1886.3978026617403,0
46,男性,189.02397804190673,68.89370250604563,2023-08-25 05:21:44,1.6394672378710022,1279.572243989424,-357.15785547628377,1
63,女性,169.17866635494667,53.79865977177906,2023-08-25 07:13:40,13.764238131454821,925.799534457487,603.6798311119411,0
21,男性,153.0374928696574,49.82060704738023,2023-08-26 00:14:15,7.537553895897314,199.07642412676864,1492.1435467108427,0
55,女性,172.98387085821204,62.70025586911761,2023-08-25 22:03:31,6.738544929367812,1122.3104492867838,523.1757114404983,0
40,女性,158.43195419757194,70.0933884378293,2023-08-25 05:08:58,16.891124691074953,1094.6403815145043,441.3527850401462,1
